,Age Group,Sex,Year,Count
Kidney and Renal Pelvis,70-74,M,2007.0,20.0
Kidney and Renal Pelvis,70-74,M,2008.0,22.0
Kidney and Renal Pelvis,70-74,M,2009.0,28.0
Kidney and Renal Pelvis,70-74,M,2010.0,33.0
Kidney and Renal Pelvis,70-74,M,2011.0,29.0
Kidney and Renal Pelvis,75-79,F,2005.0,18.0
Kidney and Renal Pelvis,75-79,F,2008.0,24.0
Kidney and Renal Pelvis,75-79,F,2010.0,19.0
Kidney and Renal Pelvis,75-79,F,2011.0,17.0
Kidney and Renal Pelvis,75-79,M,2007.0,25.0
Kidney and Renal Pelvis,75-79,M,2010.0,24.0
Kidney and Renal Pelvis,75-79,M,2011.0,26.0
Kidney and Renal Pelvis,80-84,M,2007.0,16.0
Kidney and Renal Pelvis,80-84,M,2010.0,19.0
Larynx,55-59,M,2010.0,16.0
Larynx,60-64,M,2010.0,22.0
Larynx,60-64,M,2011.0,21.0
Larynx,65-69,M,2007.0,16.0
Larynx,65-69,M,2009.0,16.0
Larynx,70-74,M,2011.0,18.0
Leukemias,1-4,F,2007.0,20.0
Leukemias,1-4,F,2008.0,26.0
Leukemias,1-4,F,2009.0,23.0
Leukemias,1-4,F,2011.0,24.0
Leukemias,1-4,M,2004.0,18.0
Leukemias,1-4,M,2007.0,20.0
Leukemias,1-4,M,2008.0,22.0
Leukemias,1-4,M,2009.0,26.0
Leukemias,1-4,M,2010.0,32.0
Leukemias,1-4,M,2011.0,40.0
Leukemias,5-9,F,2011.0,18.0
Leukemias,40-44,F,2005.0,17.0
Leukemias,40-44,M,2003.0,16.0
Leukemias,40-44,M,2010.0,17.0
Leukemias,40-44,M,2011.0,23.0
Leukemias,45-49,F,2008.0,17.0
Leukemias,45-49,F,2009.0,21.0
Leukemias,45-49,F,2010.0,18.0
Leukemias,45-49,M,2001.0,16.0
Leukemias,45-49,M,2003.0,19.0
Leukemias,45-49,M,2004.0,24.0
Leukemias,45-49,M,2005.0,19.0
Leukemias,45-49,M,2006.0,28.0
Leukemias,45-49,M,2007.0,26.0
Leukemias,45-49,M,2008.0,27.0
Leukemias,45-49,M,2009.0,29.0
Leukemias,45-49,M,2010.0,23.0
Leukemias,45-49,M,2011.0,26.0
Leukemias,50-54,F,2002.0,18.0
Leukemias,50-54,F,2005.0,18.0
Leukemias,50-54,F,2006.0,18.0
Leukemias,50-54,F,2008.0,29.0
Leukemias,50-54,F,2009.0,28.0
Leukemias,50-54,F,2010.0,29.0
Leukemias,50-54,F,2011.0,34.0
Leukemias,50-54,M,2001.0,17.0
Leukemias,50-54,M,2002.0,17.0
Leukemias,50-54,M,2003.0,34.0
Leukemias,50-54,M,2004.0,25.0
Leukemias,50-54,M,2005.0,24.0
Leukemias,50-54,M,2006.0,27.0
Leukemias,50-54,M,2007.0,38.0
Leukemias,50-54,M,2008.0,38.0
Leukemias,50-54,M,2009.0,54.0
Leukemias,50-54,M,2010.0,45.0
Leukemias,50-54,M,2011.0,49.0
Leukemias,55-59,F,2003.0,18.0
Leukemias,55-59,F,2005.0,18.0
Leukemias,55-59,F,2006.0,22.0
Leukemias,55-59,F,2007.0,31.0
Leukemias,55-59,F,2008.0,30.0
Leukemias,55-59,F,2009.0,28.0
Leukemias,55-59,F,2010.0,40.0
Leukemias,55-59,F,2011.0,48.0
Leukemias,55-59,M,2000.0,19.0
Leukemias,55-59,M,2001.0,23.0
Leukemias,55-59,M,2002.0,35.0
Leukemias,55-59,M,2003.0,36.0
Leukemias,55-59,M,2004.0,32.0
Leukemias,55-59,M,2005.0,41.0
Leukemias,55-59,M,2006.0,31.0
Leukemias,55-59,M,2007.0,45.0
Leukemias,55-59,M,2008.0,58.0
Leukemias,55-59,M,2009.0,77.0
Leukemias,55-59,M,2010.0,64.0
Leukemias,55-59,M,2011.0,76.0
Leukemias,60-64,F,2003.0,17.0
Leukemias,60-64,F,2004.0,22.0
Leukemias,60-64,F,2005.0,24.0
Leukemias,60-64,F,2006.0,22.0
Leukemias,60-64,F,2007.0,21.0
Leukemias,60-64,F,2008.0,35.0
Leukemias,60-64,F,2009.0,43.0
Leukemias,60-64,F,2010.0,42.0
Leukemias,60-64,F,2011.0,45.0
Leukemias,60-64,M,2000.0,26.0
Leukemias,60-64,M,2001.0,16.0
Leukemias,60-64,M,2002.0,24.0
Leukemias,60-64,M,2003.0,33.0
Leukemias,60-64,M,2004.0,37.0
Leukemias,60-64,M,2005.0,36.0
Leukemias,60-64,M,2006.0,32.0
Leukemias,60-64,M,2007.0,46.0
Leukemias,60-64,M,2008.0,68.0
Leukemias,60-64,M,2009.0,61.0
Leukemias,60-64,M,2010.0,71.0
Leukemias,60-64,M,2011.0,79.0
Leukemias,65-69,F,2002.0,31.0
Leukemias,65-69,F,2003.0,23.0
Leukemias,65-69,F,2004.0,24.0
Leukemias,65-69,F,2005.0,25.0
Leukemias,65-69,F,2006.0,30.0
Leukemias,65-69,F,2007.0,36.0
Leukemias,65-69,F,2008.0,34.0
Leukemias,65-69,F,2009.0,36.0
Leukemias,65-69,F,2010.0,45.0
Leukemias,65-69,F,2011.0,48.0
Leukemias,65-69,M,2001.0,20.0
Leukemias,65-69,M,2002.0,25.0
Leukemias,65-69,M,2003.0,29.0
Leukemias,65-69,M,2004.0,32.0
Leukemias,65-69,M,2005.0,28.0
Leukemias,65-69,M,2006.0,33.0
Leukemias,65-69,M,2007.0,43.0
Leukemias,65-69,M,2008.0,53.0
Leukemias,65-69,M,2009.0,73.0
Leukemias,65-69,M,2010.0,88.0
Leukemias,65-69,M,2011.0,86.0
Leukemias,70-74,F,2003.0,26.0
Leukemias,70-74,F,2004.0,36.0
Leukemias,70-74,F,2005.0,21.0
Leukemias,70-74,F,2006.0,26.0
Leukemias,70-74,F,2007.0,36.0
Leukemias,70-74,F,2008.0,39.0
Leukemias,70-74,F,2009.0,44.0
Leukemias,70-74,F,2010.0,35.0
Leukemias,70-74,F,2011.0,40.0
Leukemias,70-74,M,2000.0,23.0
Leukemias,70-74,M,2001.0,24.0
Leukemias,70-74,M,2002.0,21.0
Leukemias,70-74,M,2003.0,34.0
Leukemias,70-74,M,2004.0,33.0
Leukemias,70-74,M,2005.0,33.0
Leukemias,70-74,M,2006.0,29.0
Leukemias,70-74,M,2007.0,44.0
Leukemias,70-74,M,2008.0,48.0
Leukemias,70-74,M,2009.0,59.0
Leukemias,70-74,M,2010.0,70.0
Leukemias,70-74,M,2011.0,76.0
Leukemias,75-79,F,2001.0,21.0
Leukemias,75-79,F,2003.0,23.0
Leukemias,75-79,F,2004.0,28.0
Leukemias,75-79,F,2005.0,25.0
Leukemias,75-79,F,2006.0,22.0
Leukemias,75-79,F,2007.0,37.0
Leukemias,75-79,F,2008.0,39.0
Leukemias,75-79,F,2009.0,35.0
Leukemias,75-79,F,2010.0,39.0
Leukemias,75-79,F,2011.0,53.0
Leukemias,75-79,M,2001.0,24.0
Leukemias,75-79,M,2002.0,16.0
Leukemias,75-79,M,2003.0,38.0
Leukemias,75-79,M,2004.0,22.0
Leukemias,75-79,M,2005.0,25.0
Leukemias,75-79,M,2006.0,30.0
Leukemias,75-79,M,2007.0,38.0
Leukemias,75-79,M,2008.0,28.0
Leukemias,75-79,M,2009.0,47.0
Leukemias,75-79,M,2010.0,56.0
Leukemias,75-79,M,2011.0,59.0
Leukemias,80-84,F,2003.0,19.0
Leukemias,80-84,F,2005.0,21.0
Leukemias,80-84,F,2006.0,18.0
Leukemias,80-84,F,2007.0,25.0
Leukemias,80-84,F,2008.0,28.0
Leukemias,80-84,F,2009.0,28.0
Leukemias,80-84,F,2010.0,39.0
Leukemias,80-84,F,2011.0,48.0
Leukemias,80-84,M,2003.0,19.0
Leukemias,80-84,M,2004.0,18.0
Leukemias,80-84,M,2007.0,33.0
Leukemias,80-84,M,2008.0,28.0
Leukemias,80-84,M,2009.0,39.0
Leukemias,80-84,M,2010.0,39.0
Leukemias,80-84,M,2011.0,64.0
Leukemias,85+,F,2004.0,22.0
Leukemias,85+,F,2005.0,18.0
Leukemias,85+,F,2006.0,19.0
Leukemias,85+,F,2007.0,28.0
Leukemias,85+,F,2008.0,26.0
Leukemias,85+,F,2009.0,32.0
Leukemias,85+,F,2010.0,37.0
Leukemias,85+,F,2011.0,43.0
Leukemias,85+,M,2006.0,19.0
Leukemias,85+,M,2007.0,20.0
Leukemias,85+,M,2008.0,19.0
Leukemias,85+,M,2009.0,31.0
Leukemias,85+,M,2010.0,27.0
Leukemias,85+,M,2011.0,37.0
Liver,50-54,M,2006.0,23.0
Liver,50-54,M,2007.0,25.0
Liver,50-54,M,2008.0,21.0
Liver,50-54,M,2009.0,36.0
Liver,50-54,M,2010.0,19.0
Liver,50-54,M,2011.0,32.0
Liver,55-59,M,2005.0,18.0
Liver,55-59,M,2006.0,18.0
Liver,55-59,M,2008.0,32.0
Liver,55-59,M,2009.0,28.0
Liver,55-59,M,2010.0,46.0
Liver,55-59,M,2011.0,42.0
Liver,60-64,M,2006.0,17.0
Liver,60-64,M,2008.0,17.0
Liver,60-64,M,2009.0,30.0
Liver,60-64,M,2010.0,32.0
Liver,60-64,M,2011.0,46.0
Liver,65-69,M,2008.0,25.0
Liver,65-69,M,2010.0,25.0
Liver,70-74,M,2009.0,18.0
Liver,70-74,M,2010.0,20.0
Liver,70-74,M,2011.0,16.0
Lung and Bronchus,45-49,F,2008.0,20.0
Lung and Bronchus,45-49,F,2009.0,21.0
Lung and Bronchus,45-49,F,2010.0,16.0
Lung and Bronchus,45-49,F,2011.0,16.0
Lung and Bronchus,45-49,M,2003.0,16.0
Lung and Bronchus,45-49,M,2005.0,20.0
Lung and Bronchus,45-49,M,2006.0,19.0
Lung and Bronchus,45-49,M,2008.0,16.0
Lung and Bronchus,45-49,M,2009.0,19.0
Lung and Bronchus,45-49,M,2010.0,24.0
Lung and Bronchus,45-49,M,2011.0,17.0
Lung and Bronchus,50-54,F,2003.0,23.0
Lung and Bronchus,50-54,F,2004.0,18.0
Lung and Bronchus,50-54,F,2007.0,32.0
Lung and Bronchus,50-54,F,2009.0,22.0
Lung and Bronchus,50-54,F,2010.0,26.0
Lung and Bronchus,50-54,F,2011.0,31.0
Lung and Bronchus,50-54,M,1999.0,16.0
Lung and Bronchus,50-54,M,2000.0,20.0
Lung and Bronchus,50-54,M,2001.0,17.0
Lung and Bronchus,50-54,M,2003.0,27.0
Lung and Bronchus,50-54,M,2004.0,21.0
Lung and Bronchus,50-54,M,2005.0,36.0
Lung and Bronchus,50-54,M,2006.0,22.0
Lung and Bronchus,50-54,M,2007.0,32.0
Lung and Bronchus,50-54,M,2008.0,41.0
Lung and Bronchus,50-54,M,2009.0,29.0
Lung and Bronchus,50-54,M,2010.0,38.0
Lung and Bronchus,50-54,M,2011.0,33.0
Lung and Bronchus,55-59,F,2000.0,22.0
Lung and Bronchus,55-59,F,2001.0,30.0
Lung and Bronchus,55-59,F,2002.0,27.0
Lung and Bronchus,55-59,F,2003.0,23.0
Lung and Bronchus,55-59,F,2004.0,24.0
Lung and Bronchus,55-59,F,2005.0,29.0
Lung and Bronchus,55-59,F,2006.0,32.0
Lung and Bronchus,55-59,F,2007.0,30.0
Lung and Bronchus,55-59,F,2008.0,27.0
Lung and Bronchus,55-59,F,2009.0,29.0
Lung and Bronchus,55-59,F,2010.0,35.0
Lung and Bronchus,55-59,F,2011.0,40.0
Lung and Bronchus,55-59,M,1999.0,25.0
Lung and Bronchus,55-59,M,2000.0,29.0
Lung and Bronchus,55-59,M,2001.0,36.0
Lung and Bronchus,55-59,M,2002.0,26.0
Lung and Bronchus,55-59,M,2003.0,25.0
Lung and Bronchus,55-59,M,2004.0,34.0
Lung and Bronchus,55-59,M,2005.0,46.0
Lung and Bronchus,55-59,M,2006.0,41.0
Lung and Bronchus,55-59,M,2007.0,58.0
Lung and Bronchus,55-59,M,2008.0,48.0
Lung and Bronchus,55-59,M,2009.0,52.0
Lung and Bronchus,55-59,M,2010.0,52.0
Lung and Bronchus,55-59,M,2011.0,61.0
Lung and Bronchus,60-64,F,1999.0,19.0
Lung and Bronchus,60-64,F,2000.0,22.0
Lung and Bronchus,60-64,F,2001.0,25.0
Lung and Bronchus,60-64,F,2002.0,26.0
Lung and Bronchus,60-64,F,2003.0,32.0
Lung and Bronchus,60-64,F,2004.0,31.0
Lung and Bronchus,60-64,F,2005.0,29.0
Lung and Bronchus,60-64,F,2006.0,44.0
Lung and Bronchus,60-64,F,2007.0,44.0
Lung and Bronchus,60-64,F,2008.0,40.0
Lung and Bronchus,60-64,F,2009.0,37.0
Lung and Bronchus,60-64,F,2010.0,52.0
Lung and Bronchus,60-64,F,2011.0,50.0
Lung and Bronchus,60-64,M,1999.0,40.0
Lung and Bronchus,60-64,M,2000.0,36.0
Lung and Bronchus,60-64,M,2001.0,35.0
Lung and Bronchus,60-64,M,2002.0,27.0
Lung and Bronchus,60-64,M,2003.0,32.0
Lung and Bronchus,60-64,M,2004.0,39.0
Lung and Bronchus,60-64,M,2005.0,63.0
Lung and Bronchus,60-64,M,2006.0,53.0
Lung and Bronchus,60-64,M,2007.0,57.0
Lung and Bronchus,60-64,M,2008.0,59.0
Lung and Bronchus,60-64,M,2009.0,73.0
Lung and Bronchus,60-64,M,2010.0,66.0
Lung and Bronchus,60-64,M,2011.0,105.0
Lung and Bronchus,65-69,F,1999.0,26.0
Lung and Bronchus,65-69,F,2000.0,33.0
Lung and Bronchus,65-69,F,2001.0,28.0
Lung and Bronchus,65-69,F,2002.0,42.0
Lung and Bronchus,65-69,F,2003.0,30.0
Lung and Bronchus,65-69,F,2004.0,29.0
Lung and Bronchus,65-69,F,2005.0,50.0
Lung and Bronchus,65-69,F,2006.0,36.0
Lung and Bronchus,65-69,F,2007.0,59.0
Lung and Bronchus,65-69,F,2008.0,52.0
Lung and Bronchus,65-69,F,2009.0,59.0
Lung and Bronchus,65-69,F,2010.0,62.0
Lung and Bronchus,65-69,F,2011.0,61.0
Lung and Bronchus,65-69,M,1999.0,41.0
Lung and Bronchus,65-69,M,2000.0,37.0
Lung and Bronchus,65-69,M,2001.0,34.0
Lung and Bronchus,65-69,M,2002.0,38.0
Lung and Bronchus,65-69,M,2003.0,54.0
Lung and Bronchus,65-69,M,2004.0,49.0
Lung and Bronchus,65-69,M,2005.0,52.0
Lung and Bronchus,65-69,M,2006.0,53.0
Lung and Bronchus,65-69,M,2007.0,72.0
Lung and Bronchus,65-69,M,2008.0,80.0
Lung and Bronchus,65-69,M,2009.0,70.0
Lung and Bronchus,65-69,M,2010.0,95.0
Lung and Bronchus,65-69,M,2011.0,98.0
Lung and Bronchus,70-74,F,1999.0,27.0
Lung and Bronchus,70-74,F,2000.0,30.0
Lung and Bronchus,70-74,F,2001.0,38.0
Lung and Bronchus,70-74,F,2002.0,37.0
Lung and Bronchus,70-74,F,2003.0,47.0
Lung and Bronchus,70-74,F,2004.0,46.0
Lung and Bronchus,70-74,F,2005.0,51.0
Lung and Bronchus,70-74,F,2006.0,46.0
Lung and Bronchus,70-74,F,2007.0,55.0
Lung and Bronchus,70-74,F,2008.0,43.0
Lung and Bronchus,70-74,F,2009.0,68.0
Lung and Bronchus,70-74,F,2010.0,55.0
Lung and Bronchus,70-74,F,2011.0,78.0
Lung and Bronchus,70-74,M,1999.0,58.0
Lung and Bronchus,70-74,M,2000.0,51.0
Lung and Bronchus,70-74,M,2001.0,36.0
Lung and Bronchus,70-74,M,2002.0,55.0
Lung and Bronchus,70-74,M,2003.0,61.0
Lung and Bronchus,70-74,M,2004.0,54.0
Lung and Bronchus,70-74,M,2005.0,51.0
Lung and Bronchus,70-74,M,2006.0,48.0
Lung and Bronchus,70-74,M,2007.0,86.0
Lung and Bronchus,70-74,M,2008.0,82.0
Lung and Bronchus,70-74,M,2009.0,81.0
Lung and Bronchus,70-74,M,2010.0,70.0
Lung and Bronchus,70-74,M,2011.0,83.0
Lung and Bronchus,75-79,F,1999.0,32.0
Lung and Bronchus,75-79,F,2000.0,39.0
Lung and Bronchus,75-79,F,2001.0,32.0
Lung and Bronchus,75-79,F,2002.0,38.0
Lung and Bronchus,75-79,F,2003.0,49.0
Lung and Bronchus,75-79,F,2004.0,40.0
Lung and Bronchus,75-79,F,2005.0,54.0
Lung and Bronchus,75-79,F,2006.0,44.0
Lung and Bronchus,75-79,F,2007.0,47.0
Lung and Bronchus,75-79,F,2008.0,60.0
Lung and Bronchus,75-79,F,2009.0,55.0
Lung and Bronchus,75-79,F,2010.0,53.0
Lung and Bronchus,75-79,F,2011.0,72.0
Lung and Bronchus,75-79,M,1999.0,34.0
Lung and Bronchus,75-79,M,2000.0,37.0
Lung and Bronchus,75-79,M,2001.0,45.0
Lung and Bronchus,75-79,M,2002.0,46.0
Lung and Bronchus,75-79,M,2003.0,41.0
Lung and Bronchus,75-79,M,2004.0,62.0
Lung and Bronchus,75-79,M,2005.0,50.0
Lung and Bronchus,75-79,M,2006.0,57.0
Lung and Bronchus,75-79,M,2007.0,61.0
Lung and Bronchus,75-79,M,2008.0,70.0
Lung and Bronchus,75-79,M,2009.0,69.0
Lung and Bronchus,75-79,M,2010.0,72.0
Lung and Bronchus,75-79,M,2011.0,82.0
Lung and Bronchus,80-84,F,1999.0,20.0
Lung and Bronchus,80-84,F,2000.0,19.0
Lung and Bronchus,80-84,F,2001.0,20.0
Lung and Bronchus,80-84,F,2002.0,23.0
Lung and Bronchus,80-84,F,2003.0,19.0
Lung and Bronchus,80-84,F,2004.0,32.0
Lung and Bronchus,80-84,F,2005.0,34.0
Lung and Bronchus,80-84,F,2006.0,31.0
Lung and Bronchus,80-84,F,2007.0,41.0
Lung and Bronchus,80-84,F,2008.0,39.0
Lung and Bronchus,80-84,F,2009.0,48.0
Lung and Bronchus,80-84,F,2010.0,35.0
Lung and Bronchus,80-84,F,2011.0,43.0
Lung and Bronchus,80-84,M,1999.0,18.0
Lung and Bronchus,80-84,M,2000.0,22.0
Lung and Bronchus,80-84,M,2001.0,20.0
Lung and Bronchus,80-84,M,2002.0,21.0
Lung and Bronchus,80-84,M,2003.0,37.0
Lung and Bronchus,80-84,M,2004.0,38.0
Lung and Bronchus,80-84,M,2005.0,36.0
Lung and Bronchus,80-84,M,2006.0,35.0
Lung and Bronchus,80-84,M,2007.0,39.0
Lung and Bronchus,80-84,M,2008.0,44.0
Lung and Bronchus,80-84,M,2009.0,40.0
Lung and Bronchus,80-84,M,2010.0,48.0
Lung and Bronchus,80-84,M,2011.0,66.0
Lung and Bronchus,85+,F,1999.0,19.0
Lung and Bronchus,85+,F,2001.0,17.0
Lung and Bronchus,85+,F,2002.0,17.0
Lung and Bronchus,85+,F,2004.0,27.0
Lung and Bronchus,85+,F,2005.0,29.0
Lung and Bronchus,85+,F,2006.0,35.0
Lung and Bronchus,85+,F,2007.0,41.0
Lung and Bronchus,85+,F,2008.0,45.0
Lung and Bronchus,85+,F,2009.0,45.0
Lung and Bronchus,85+,F,2010.0,36.0
Lung and Bronchus,85+,F,2011.0,36.0
Lung and Bronchus,85+,M,2001.0,17.0
Lung and Bronchus,85+,M,2002.0,17.0
Lung and Bronchus,85+,M,2004.0,21.0
Lung and Bronchus,85+,M,2005.0,18.0
Lung and Bronchus,85+,M,2006.0,31.0
Lung and Bronchus,85+,M,2007.0,42.0
Lung and Bronchus,85+,M,2008.0,26.0
Lung and Bronchus,85+,M,2009.0,36.0
Lung and Bronchus,85+,M,2010.0,34.0
Lung and Bronchus,85+,M,2011.0,32.0
Melanoma of the Skin,15-19,F,2002.0,16.0
Melanoma of the Skin,20-24,F,1999.0,23.0
Melanoma of the Skin,20-24,F,2000.0,20.0
Melanoma of the Skin,20-24,F,2001.0,35.0
Melanoma of the Skin,20-24,F,2002.0,45.0
Melanoma of the Skin,20-24,F,2003.0,32.0
Melanoma of the Skin,20-24,F,2004.0,32.0
Melanoma of the Skin,20-24,F,2005.0,33.0
Melanoma of the Skin,20-24,F,2006.0,29.0
Melanoma of the Skin,20-24,F,2007.0,38.0
Melanoma of the Skin,20-24,F,2008.0,40.0
Melanoma of the Skin,20-24,F,2009.0,42.0
Melanoma of the Skin,20-24,F,2010.0,27.0
Melanoma of the Skin,20-24,F,2011.0,28.0
Melanoma of the Skin,20-24,M,2001.0,25.0
Melanoma of the Skin,20-24,M,2002.0,22.0
Melanoma of the Skin,20-24,M,2008.0,18.0
Melanoma of the Skin,25-29,F,1999.0,29.0
Melanoma of the Skin,25-29,F,2000.0,53.0
Melanoma of the Skin,25-29,F,2001.0,52.0
Melanoma of the Skin,25-29,F,2002.0,66.0
Melanoma of the Skin,25-29,F,2003.0,48.0
Melanoma of the Skin,25-29,F,2004.0,55.0
Melanoma of the Skin,25-29,F,2005.0,54.0
Melanoma of the Skin,25-29,F,2006.0,56.0
Melanoma of the Skin,25-29,F,2007.0,71.0
Melanoma of the Skin,25-29,F,2008.0,81.0
Melanoma of the Skin,25-29,F,2009.0,69.0
Melanoma of the Skin,25-29,F,2010.0,60.0
Melanoma of the Skin,25-29,F,2011.0,71.0
Melanoma of the Skin,25-29,M,2000.0,25.0
Melanoma of the Skin,25-29,M,2001.0,25.0
Melanoma of the Skin,25-29,M,2002.0,25.0
Melanoma of the Skin,25-29,M,2003.0,39.0
Melanoma of the Skin,25-29,M,2004.0,33.0
Melanoma of the Skin,25-29,M,2005.0,30.0
Melanoma of the Skin,25-29,M,2006.0,29.0
Melanoma of the Skin,25-29,M,2007.0,29.0
Melanoma of the Skin,25-29,M,2008.0,30.0
Melanoma of the Skin,25-29,M,2009.0,28.0
Melanoma of the Skin,25-29,M,2010.0,25.0
Melanoma of the Skin,25-29,M,2011.0,25.0
Melanoma of the Skin,30-34,F,1999.0,41.0
Melanoma of the Skin,30-34,F,2000.0,46.0
Melanoma of the Skin,30-34,F,2001.0,63.0
Melanoma of the Skin,30-34,F,2002.0,94.0
Melanoma of the Skin,30-34,F,2003.0,72.0
Melanoma of the Skin,30-34,F,2004.0,81.0
Melanoma of the Skin,30-34,F,2005.0,85.0
Melanoma of the Skin,30-34,F,2006.0,70.0
Melanoma of the Skin,30-34,F,2007.0,95.0
Melanoma of the Skin,30-34,F,2008.0,73.0
Melanoma of the Skin,30-34,F,2009.0,78.0
Melanoma of the Skin,30-34,F,2010.0,50.0
Melanoma of the Skin,30-34,F,2011.0,96.0
Melanoma of the Skin,30-34,M,1999.0,23.0
Melanoma of the Skin,30-34,M,2000.0,35.0
Melanoma of the Skin,30-34,M,2001.0,53.0
Melanoma of the Skin,30-34,M,2002.0,43.0
Melanoma of the Skin,30-34,M,2003.0,35.0
Melanoma of the Skin,30-34,M,2004.0,43.0
Melanoma of the Skin,30-34,M,2005.0,39.0
Melanoma of the Skin,30-34,M,2006.0,44.0
Melanoma of the Skin,30-34,M,2007.0,48.0
Melanoma of the Skin,30-34,M,2008.0,43.0
Melanoma of the Skin,30-34,M,2009.0,41.0
Melanoma of the Skin,30-34,M,2010.0,40.0
Melanoma of the Skin,30-34,M,2011.0,54.0
Melanoma of the Skin,35-39,F,1999.0,61.0
Melanoma of the Skin,35-39,F,2000.0,65.0
Melanoma of the Skin,35-39,F,2001.0,92.0
Melanoma of the Skin,35-39,F,2002.0,96.0
Melanoma of the Skin,35-39,F,2003.0,88.0
Melanoma of the Skin,35-39,F,2004.0,91.0
Melanoma of the Skin,35-39,F,2005.0,84.0
Melanoma of the Skin,35-39,F,2006.0,86.0
Melanoma of the Skin,35-39,F,2007.0,91.0
Melanoma of the Skin,35-39,F,2008.0,104.0
Melanoma of the Skin,35-39,F,2009.0,92.0
Melanoma of the Skin,35-39,F,2010.0,95.0
Melanoma of the Skin,35-39,F,2011.0,105.0
Melanoma of the Skin,35-39,M,1999.0,45.0
Melanoma of the Skin,35-39,M,2000.0,41.0
Melanoma of the Skin,35-39,M,2001.0,62.0
Melanoma of the Skin,35-39,M,2002.0,80.0
Melanoma of the Skin,35-39,M,2003.0,59.0
Melanoma of the Skin,35-39,M,2004.0,47.0
Melanoma of the Skin,35-39,M,2005.0,67.0
Melanoma of the Skin,35-39,M,2006.0,55.0
Melanoma of the Skin,35-39,M,2007.0,58.0
Melanoma of the Skin,35-39,M,2008.0,71.0
Melanoma of the Skin,35-39,M,2009.0,53.0
Melanoma of the Skin,35-39,M,2010.0,44.0
Melanoma of the Skin,35-39,M,2011.0,67.0
Melanoma of the Skin,40-44,F,1999.0,65.0
Melanoma of the Skin,40-44,F,2000.0,82.0
Melanoma of the Skin,40-44,F,2001.0,86.0
Melanoma of the Skin,40-44,F,2002.0,125.0
Melanoma of the Skin,40-44,F,2003.0,99.0
Melanoma of the Skin,40-44,F,2004.0,115.0
Melanoma of the Skin,40-44,F,2005.0,110.0
Melanoma of the Skin,40-44,F,2006.0,105.0
Melanoma of the Skin,40-44,F,2007.0,120.0
Melanoma of the Skin,40-44,F,2008.0,106.0
Melanoma of the Skin,40-44,F,2009.0,113.0
Melanoma of the Skin,40-44,F,2010.0,115.0
Melanoma of the Skin,40-44,F,2011.0,137.0
Melanoma of the Skin,40-44,M,1999.0,63.0
Melanoma of the Skin,40-44,M,2000.0,66.0
Melanoma of the Skin,40-44,M,2001.0,83.0
Melanoma of the Skin,40-44,M,2002.0,85.0
Melanoma of the Skin,40-44,M,2003.0,75.0
Melanoma of the Skin,40-44,M,2004.0,81.0
Melanoma of the Skin,40-44,M,2005.0,87.0
Melanoma of the Skin,40-44,M,2006.0,69.0
Melanoma of the Skin,40-44,M,2007.0,91.0
Melanoma of the Skin,40-44,M,2008.0,97.0
Melanoma of the Skin,40-44,M,2009.0,88.0
Melanoma of the Skin,40-44,M,2010.0,86.0
Melanoma of the Skin,40-44,M,2011.0,105.0
Melanoma of the Skin,45-49,F,1999.0,54.0
Melanoma of the Skin,45-49,F,2000.0,69.0
Melanoma of the Skin,45-49,F,2001.0,96.0
Melanoma of the Skin,45-49,F,2002.0,121.0
Melanoma of the Skin,45-49,F,2003.0,112.0
Melanoma of the Skin,45-49,F,2004.0,103.0
Melanoma of the Skin,45-49,F,2005.0,112.0
Melanoma of the Skin,45-49,F,2006.0,131.0
Melanoma of the Skin,45-49,F,2007.0,150.0
Melanoma of the Skin,45-49,F,2008.0,125.0
Melanoma of the Skin,45-49,F,2009.0,140.0
Melanoma of the Skin,45-49,F,2010.0,139.0
Melanoma of the Skin,45-49,F,2011.0,161.0
Melanoma of the Skin,45-49,M,1999.0,79.0
Melanoma of the Skin,45-49,M,2000.0,63.0
Melanoma of the Skin,45-49,M,2001.0,82.0
Melanoma of the Skin,45-49,M,2002.0,101.0
Melanoma of the Skin,45-49,M,2003.0,84.0
Melanoma of the Skin,45-49,M,2004.0,99.0
Melanoma of the Skin,45-49,M,2005.0,108.0
Melanoma of the Skin,45-49,M,2006.0,103.0
Melanoma of the Skin,45-49,M,2007.0,133.0
Melanoma of the Skin,45-49,M,2008.0,158.0
Melanoma of the Skin,45-49,M,2009.0,100.0
Melanoma of the Skin,45-49,M,2010.0,122.0
Melanoma of the Skin,45-49,M,2011.0,144.0
Melanoma of the Skin,50-54,F,1999.0,48.0
Melanoma of the Skin,50-54,F,2000.0,45.0
Melanoma of the Skin,50-54,F,2001.0,70.0
Melanoma of the Skin,50-54,F,2002.0,87.0
Melanoma of the Skin,50-54,F,2003.0,101.0
Melanoma of the Skin,50-54,F,2004.0,102.0
Melanoma of the Skin,50-54,F,2005.0,116.0
Melanoma of the Skin,50-54,F,2006.0,111.0
Melanoma of the Skin,50-54,F,2007.0,149.0
Melanoma of the Skin,50-54,F,2008.0,124.0
Melanoma of the Skin,50-54,F,2009.0,147.0
Melanoma of the Skin,50-54,F,2010.0,181.0
Melanoma of the Skin,50-54,F,2011.0,212.0
Melanoma of the Skin,50-54,M,1999.0,48.0
Melanoma of the Skin,50-54,M,2000.0,75.0
