,Age Group,Sex,Year,Count
All Sites Combined,40-44,F,2008.0,544.0
All Sites Combined,40-44,F,2009.0,605.0
All Sites Combined,40-44,F,2010.0,592.0
All Sites Combined,40-44,F,2011.0,635.0
All Sites Combined,40-44,M,1999.0,220.0
All Sites Combined,40-44,M,2000.0,238.0
All Sites Combined,40-44,M,2001.0,261.0
All Sites Combined,40-44,M,2002.0,309.0
All Sites Combined,40-44,M,2003.0,304.0
All Sites Combined,40-44,M,2004.0,324.0
All Sites Combined,40-44,M,2005.0,309.0
All Sites Combined,40-44,M,2006.0,329.0
All Sites Combined,40-44,M,2007.0,416.0
All Sites Combined,40-44,M,2008.0,395.0
All Sites Combined,40-44,M,2009.0,394.0
All Sites Combined,40-44,M,2010.0,419.0
All Sites Combined,40-44,M,2011.0,453.0
All Sites Combined,45-49,F,1999.0,437.0
All Sites Combined,45-49,F,2000.0,489.0
All Sites Combined,45-49,F,2001.0,498.0
All Sites Combined,45-49,F,2002.0,592.0
All Sites Combined,45-49,F,2003.0,630.0
All Sites Combined,45-49,F,2004.0,579.0
All Sites Combined,45-49,F,2005.0,657.0
All Sites Combined,45-49,F,2006.0,634.0
All Sites Combined,45-49,F,2007.0,757.0
All Sites Combined,45-49,F,2008.0,763.0
All Sites Combined,45-49,F,2009.0,791.0
All Sites Combined,45-49,F,2010.0,741.0
All Sites Combined,45-49,F,2011.0,835.0
All Sites Combined,45-49,M,1999.0,301.0
All Sites Combined,45-49,M,2000.0,325.0
All Sites Combined,45-49,M,2001.0,360.0
All Sites Combined,45-49,M,2002.0,449.0
All Sites Combined,45-49,M,2003.0,443.0
All Sites Combined,45-49,M,2004.0,466.0
All Sites Combined,45-49,M,2005.0,531.0
All Sites Combined,45-49,M,2006.0,593.0
All Sites Combined,45-49,M,2007.0,678.0
All Sites Combined,45-49,M,2008.0,685.0
All Sites Combined,45-49,M,2009.0,717.0
All Sites Combined,45-49,M,2010.0,698.0
All Sites Combined,45-49,M,2011.0,778.0
All Sites Combined,50-54,F,1999.0,445.0
All Sites Combined,50-54,F,2000.0,518.0
All Sites Combined,50-54,F,2001.0,553.0
All Sites Combined,50-54,F,2002.0,558.0
All Sites Combined,50-54,F,2003.0,677.0
All Sites Combined,50-54,F,2004.0,649.0
All Sites Combined,50-54,F,2005.0,741.0
All Sites Combined,50-54,F,2006.0,761.0
All Sites Combined,50-54,F,2007.0,855.0
All Sites Combined,50-54,F,2008.0,861.0
All Sites Combined,50-54,F,2009.0,924.0
All Sites Combined,50-54,F,2010.0,947.0
All Sites Combined,50-54,F,2011.0,1126.0
All Sites Combined,50-54,M,1999.0,424.0
All Sites Combined,50-54,M,2000.0,572.0
All Sites Combined,50-54,M,2001.0,623.0
All Sites Combined,50-54,M,2002.0,661.0
All Sites Combined,50-54,M,2003.0,739.0
All Sites Combined,50-54,M,2004.0,754.0
All Sites Combined,50-54,M,2005.0,831.0
All Sites Combined,50-54,M,2006.0,976.0
All Sites Combined,50-54,M,2007.0,1200.0
All Sites Combined,50-54,M,2008.0,1178.0
All Sites Combined,50-54,M,2009.0,1363.0
All Sites Combined,50-54,M,2010.0,1372.0
All Sites Combined,50-54,M,2011.0,1513.0
All Sites Combined,55-59,F,1999.0,383.0
All Sites Combined,55-59,F,2000.0,506.0
All Sites Combined,55-59,F,2001.0,542.0
All Sites Combined,55-59,F,2002.0,562.0
All Sites Combined,55-59,F,2003.0,668.0
All Sites Combined,55-59,F,2004.0,647.0
All Sites Combined,55-59,F,2005.0,716.0
All Sites Combined,55-59,F,2006.0,838.0
All Sites Combined,55-59,F,2007.0,936.0
